,aspectRating,aspectSentences,Content,Overall
90,3.0,"['especially since the monaco seattle was 100 dollars more than the sf monaco.', 'but i was so impressed with the sf monaco that i wanted specifically to try their seattle hotel.', 'the lobby was beautiful and the staff allowed us a generous 3pm checkout so we could relax before our overseas flight.', 'i actually factor in decor when i book a room and sure, the photos they advertised are usually a bit more polished than the reality but at the monaco seattle, it was a pure misreprentation of the decor advertised.at the san francisco monaco, there was a lovely spa with a sauna and big hot tub.', 'here in seattle, we paid 100 dollars more than sf and there was no spa at all.', 'we were very disappointed with the monaco seattle.']","our room looked nothing like the elegant ones advertised for this hotel after staying at the wonderful san francisco monaco, our expectations were high when we booked this hotel. especially since the monaco seattle was 100 dollars more than the sf monaco. we were traveling home to copenhagen so i considered using priceline to bid low for a four star hotel. but i was so impressed with the sf monaco that i wanted specifically to try their seattle hotel. on the plus side, the staff was lovely and service was always prompt. the lobby was beautiful and the staff allowed us a generous 3pm checkout so we could relax before our overseas flight. the room was quiet and clean and everything worked.but we were surprised to see that the room was decorated hideously. the room we got did not, in any way shape or form resemble the beautifully designed rooms advertised on the hotels web site. the pillows for the beds were left in the chairs and there was no bedspread. the wall paper was grey and white and very depressing. in sf, i loved the monaco's whimsical colorful style but there was no color or design in this room. here, i felt they had really misrepresented their rooms which were dull and boring. for me a nice decor helps make me feel at home and cheers me up and this room didnt do the trick. i actually factor in decor when i book a room and sure, the photos they advertised are usually a bit more polished than the reality but at the monaco seattle, it was a pure misreprentation of the decor advertised.at the san francisco monaco, there was a lovely spa with a sauna and big hot tub. here in seattle, we paid 100 dollars more than sf and there was no spa at all. why was it so much more?finally, the room service menu did not include any vegetarian dishes except pizza. it seems like a no brainer to consider vegetarians when you make a room service menu. if you can include dogs, why not cover about the 10 percent of the population that doesnt eat meat. we were very disappointed with the monaco seattle. but if you are a carnivore who doesn't care for spas or decor, you might just love the place. the service can't be faulted. ",2.0
125,1.0,"['we were then punished by being given a handicap access room that had no bathtub.', 'parking was almost 30 dollars a night and internet was exorbitant as well.', 'the pool was nothing to write home about and the fitness room was .,.', 'all in all i would say that if it were the last hotel in seattle i would sooner camp out. ']","ugh well where do i start? horrible!. okay the location was good and the restaurant was superb. ralphs market was across the street and great as well as dahlias restaurant. as for the hotel itself. we arrived there an hour early and were punished. desk clerk had something to say about our new yawk accent. we were then punished by being given a handicap access room that had no bathtub. the room was drafty and it faced the parking lot and construction site which was noisy. the bed and the bed linens looked and felt like they were from the original days of george washington. shabby and nasty. the tv was antiquated, the stations limited. no fridge, small towels and never enough of them. parking was almost 30 dollars a night and internet was exorbitant as well. the pool was nothing to write home about and the fitness room was .,. limited as well. all in all i would say that if it were the last hotel in seattle i would sooner camp out. ",1.0
127,3.0,['great hotel and location a great hotel with a fantastic location.stayed on the 9th floor with a space needle view.clean spacious rooms with a superb view.staff were very friendly and chatty.breakfast in the restaurant was very good as was happy hour from 4pm to 7pm in the bar.10 mins walk to space needle and 5 mins walk to macys and the shops...i cannot fault the hotel over my 4 night stay......excellent.............. '],great hotel and location a great hotel with a fantastic location.stayed on the 9th floor with a space needle view.clean spacious rooms with a superb view.staff were very friendly and chatty.breakfast in the restaurant was very good as was happy hour from 4pm to 7pm in the bar.10 mins walk to space needle and 5 mins walk to macys and the shops...i cannot fault the hotel over my 4 night stay......excellent.............. ,5.0
128,1.0,"['the lobby was also dirty, and they cannot accommodate a group of people before a cruise.about 4 hours later, after they sent a man with a can of spray to remove the smoke????', 'if you want a great place try the doubletree suites at seattle, wa seatac near the airport for a large room with great accommodations and a great staff and they have people in the lobby to print your airline boarding passes with complete gracious, efficient staff for everything! ']","dirty, shabby and they did a bait  this is a bait  switch type of place.we stayed there before our cruise to alaska, and i called from pennsylvania to verify non-smoking.the staff would not listen when i said i refused to stay in his horrible smelly and dirty room. the lobby was also dirty, and they cannot accommodate a group of people before a cruise.about 4 hours later, after they sent a man with a can of spray to remove the smoke???? really a can of spray???? yes!, and i refused to stay there, they found a room with 8 spotlights in the ceiling, no towel bars on the 2nd floor that was non-smoking.i wonder what this room is used for during other times, because no other hotel room has 8 spotlights pointing to the bed????perhaps the police needs to know about this place that has 8 spotlights pointing to the bed???!!!we had to move our things ourselves after fighting with them for hours. and the consierge gave out bad advice about what time to leave for the ship. they said they have a smoking floor for over 20 years, and there is no way they can remove the smell of smoke from a room.i said i called long distance from pennsylvania a week before the stay, and they said no problem.don't waste your time or money by staying at the warwickand they do nothing to help you. if you want a great place try the doubletree suites at seattle, wa seatac near the airport for a large room with great accommodations and a great staff and they have people in the lobby to print your airline boarding passes with complete gracious, efficient staff for everything! ",1.0
129,1.0,"[""room balcony was across from cinerama and crowd was noisy (indiana jones' premiere).very cramped lobby but free wifi around ground floor, but not in hotel premises. ""]","be sure to get a high floor got a room on the 3rd floor... checked in around 2100h, so options were limited. room balcony was across from cinerama and crowd was noisy (indiana jones' premiere).very cramped lobby but free wifi around ground floor, but not in hotel premises. ",3.0
130,3.0,"['decent accomodations, no stand-out service       seattle warwick ']","decent accomodations, no stand-out service       seattle warwick ",3.0
131,4.0,"['we chose the hotel due to the excellent location in seattle.', 'we requested an upper floor (needle facing) and frankly am glad we had the booking.', ')the view was nice, breakfast was great, fast and friendly in the dining room and the complimentary business center was a g*dsend (since i forgot my seattle maps).', 'one may come across websurfers monopolizing the computers, so get there early.', 'we reserved our walkabout for the next day in daylight, as the area has some sketchy elements if one is not familiar with seattle.']","good hotel. luxury? not so much. we chose the hotel due to the excellent location in seattle. i booked by contacting the property directly and had a wonderful first impression of the service. i also called back to verify that i advised of a late check-in and was once gain spoke with a courteous property representative. the hotel recommended a terrific sedan service direct to the hotel (complete with mini tour of the city). check-in was effortless and the room request was honored as booked. we requested an upper floor (needle facing) and frankly am glad we had the booking. at 0600hrs there were a couple of folks in a theatre entranceway across the street from the hotel whose voices were amplified in the entrance, we could hear them on the 15th floor. gilcrest and soames toilettries were a nice touch and other room features are frankly forgettable (for a property considered to be 'luxury.)the view was nice, breakfast was great, fast and friendly in the dining room and the complimentary business center was a g*dsend (since i forgot my seattle maps). one may come across websurfers monopolizing the computers, so get there early. for those familiar with ralphs grocery in california, sadly the one across from the property is not the same. we reserved our walkabout for the next day in daylight, as the area has some sketchy elements if one is not familiar with seattle. we'd stay there again. ",4.0
133,3.0,"['great location - they need to internally upgrade to take advantage north end of downtown seattle, great restaurants nearby, good prices.']","great location - they need to internally upgrade to take advantage north end of downtown seattle, great restaurants nearby, good prices. the rooms need to be updated, literally thought i was sleeping on a 1970's bed with old pillows and sheets. net result is a bad nights sleep. i would stay their again for the location but that is it. staff is very friendly also. ",2.0
134,3.0,"['my room faced the space needle on both stays making for a great view.', 'if you are a light sleeper (or if you have any problems with night noise), request a back room that faces the back streets and not the space needle.', 'the lobby is so very small so when you have a lot of rooms checking in/out at the same time then there is no room for people to even move at the counter with luggage.', ""you can walk to pike place market as well as many places to eat like mama's for mexican."", ""he helped us with informing us with which bus numbers to take to go down to pioneer sqaure (there's a free city bus that stops right outside the warwick that goes to pioneer sqaure)."", 'if time had permitted i would have walked to pike place market and ate down there.', 'there is no safe in the rooms and they charge i think $11 per day for internet service.', 'if you have a group going to seattle, we used shuttle express and set up a private city tour for 3 1/2 hours and they took us all the places we wanted to go.']","nothing special but great location... as a travel agent myself, i booked my group at this hotel for both the a pre-cruise stay and post-cruise stay. my room faced the space needle on both stays making for a great view. i have to say that this had to be the loudest, noisiest hotel room i have ever stayed in anywhere. my 1st night there, sept. 12th, the city was doing road work on one of the cross streets until 1pm, then at 3pm drunk neighbors were yelling off their balcony to the street people partying in the parking lot below. doesn't make for a good nights rest after flying for 4 hours and checking in at 10:30pm. if you are a light sleeper (or if you have any problems with night noise), request a back room that faces the back streets and not the space needle. the lobby is so very small so when you have a lot of rooms checking in/out at the same time then there is no room for people to even move at the counter with luggage. i find that this hotel is sold-out often so getting early check-in is hard. i found the rooms to be nothing but standard. i wouldn't consider them anything near 4-star, nor the hotel for that matter. i have stayed in numerous hotels around the world from 2-star to 5-star and this one i ranked as just a room to stopover at prior to the cruise. the room was clean, bathroom was clean but nothing to write home about. the one major thing that the warwick has going for it is it's location! you can walk to pike place market as well as many places to eat like mama's for mexican.  the bellman - joe, at the warwick was the best employee that we encountered there. he helped us with informing us with which bus numbers to take to go down to pioneer sqaure (there's a free city bus that stops right outside the warwick that goes to pioneer sqaure). he also set up our car service back to the airport for us without even being asked to. just left us a voice mail in our room saying what time they would pick us up in the morning. it's cheaper to take the car service than a taxi so the hotel can arrange that for you. i did eat 1 meal at the warwick and that was breakfast, it was fine. $40 for 3 people and all i ordered was the blueberry pancakes. if time had permitted i would have walked to pike place market and ate down there. bottled water in the room is $4 so run across the street to the grocery store and buy it there, it will be cheaper for you. there is no safe in the rooms and they charge i think $11 per day for internet service. parking is $26 per day at the hotel unless you get in on one of trhe weekend specials. if you have a group going to seattle, we used shuttle express and set up a private city tour for 3 1/2 hours and they took us all the places we wanted to go. it was great and they picked us up right at the hotel. got a really good rate and by having the private tour we didn't have outsiders with us so it made it a lot more fun. ",2.0
140,2.0,"['just got back from a weekend in seattle at the warwick.', 'also had a good size desk to work, but the wireless internet was not free and the signal was very weak.', 'i can definitely recommend the warwick when travelling to seattle. ']","good hotel, good value, great location. just got back from a weekend in seattle at the warwick. took the grayline airport shuttle and it dropped us off right in front of the hotel. also picked us up for our return to seatac. our room had an incredible view of the city skyline, was a fairly good size, with a nice size closet and plenty of drawers for your clothes. also had a good size desk to work, but the wireless internet was not free and the signal was very weak. the location of this hotel is very convenient, within walking distance of nearly all the sites; pioneer, safeco, and qwest being exceptions. ralph's grocery across the street was a great added feature, as was dahlia's bakery. it looked like the hotel was on the edge of a transitioning neighborhood, but we never felt unsafe. walking north of the hotel after dark made me a little uncomfortable, but walking south towards the main shopping district was great with plenty of others out walking. this hotel seemed more european than american. overall, a great experience. i can definitely recommend the warwick when travelling to seattle. ",5.0
141,2.0,"['we were travelling with 2 small children (57) so booked one room for us all.the lobby of the hotel is small and gloomy with 2 inconvenient steps down and this just about sums up the hotel.', 'we were also told by the front desk that internet access on our laptop was free, but at checkout $11 per day had been added to our bill.']","not impressed! we booked this 4* hotel on the strength of the recommendations on trip advisor and boy were we disappointed! all our previous selections had been a great sucess, so we thought we'd increase our budget slightly and stay here for 2 nights on our way home. we were travelling with 2 small children (57) so booked one room for us all.the lobby of the hotel is small and gloomy with 2 inconvenient steps down and this just about sums up the hotel. we received a lukewarm welcome at check in (early evening) and a very weak offer of help with parking and our luggage. the room itself was dark with 2 very small double beds, but a view of the spaceneedle. the bathroom was dated (compared to other hotels we had just visited), a pretty pathetic shower and a hole in the ceiling.we asked at guest services for recomendations for children friendly restaurants and the staff shrugged their shoulders until a member of staff called dave came to help us. he was the most helpful member of staff we came across our entire stay! he gave us directions  even advised us on portion sizes. the other times that we contacted front desk/guest services (very difficult to tell them apart) we were met by unhelpful  unknowledgable staff for very straightforward requests verging on the sarcastic and rude. we enquired about other breakfast restaurants, whale watching tours and pottery barn locations) and we ended up doing our own research and bookings. the standard of housekeeping was not as good as it should have been - the maid didn't remove or replace dirty cups  glasses and wanted to get in our room at 8am on the day we were checking out.we only ate breakfast only once in the hotel, and the waitress (a mature lady) started off by giving our children (who were sitting quitely) a lecture about behaving and being good for their parents. slow service given a nearly empty restaurant.the hotel is located centrally and we were able to walk to places, but the parking is $27 a day for guests which we thought pricey. we were also told by the front desk that internet access on our laptop was free, but at checkout $11 per day had been added to our bill. when i questioned this, i was told that as i had been 'miss told' they would remove it, but i was made to feel pretty bad about it.overall, its a dark, dated hotel let down badly by the unhelpful and rude staff. we couldn't believe all the previous excellent tripadvisor reports! ",1.0
144,3.0,"['did not use the pool or fitness center.', 'i would have liked to have used the business center, but it was always full.my only complaint was that the food i got from room service had a hair in it.']","pretty good i stayed at the warwick in january, on the 19th floor. i had a great view of the city, especially at night! in response to earlier reviews saying the rooms were drafty and cold, i had absolutely no problem with that. if there is one thing i will say about the room, it's that the heating was excellent!rooms are a little outdated and mine was pretty small, but they're comfortable and clean, so no complaints there. this hotel has an excellent location for many local sights, great restaurants and pubs within walking distance as well.the staff was great and helpful with whatever i needed. did not use the pool or fitness center. i would have liked to have used the business center, but it was always full.my only complaint was that the food i got from room service had a hair in it. it took awhile for room service to take my order, but the delivery was fast. nice stay at the warwick, would stay again. ",4.0
146,4.0,"[""it's within walking distance of the space needle ( and the museums around it), as well as pike place market (and the waterfront)."", ""there is a very helpful store right across from it that stays open until 2 am.. there's also constant cabs waiting outside the front lobby for when you want to visit other parts of the city."", 'the view from either side is amazing - you can choose to have a view of the space needle, or of the city (i suggest the city - gorgeous).the staff have all been incredibly nice and helpful, and the room is exceptionally clean.']","perfect i don't typically write reviews on sites, but i saw the last one and wanted to update it...i am physically writing from a room on the 16th floor of the warwick hotel, visiting here from hollywood, ca. i've stayed at a couple of hotels during this visit, and i have to say - this is extremely nice.i wanted to comment on the noise comment - i have to say, i think if you're familiar with city noise, this place is actually very quiet. i'm (again) from los angeles, so maybe my perspective is a little different, but it's actually a very quiet part of town. there is some construction going on about a block down, but it's during the day and not loud at all. i can't hear any of the other rooms, and the heater makes.. well, the noise a normal hotel heater would make. it's within walking distance of the space needle ( and the museums around it), as well as pike place market (and the waterfront). there is a very helpful store right across from it that stays open until 2 am.. there's also constant cabs waiting outside the front lobby for when you want to visit other parts of the city. also, if you have the opportunity - and no height issues - i would suggest asking for one of the higher floors - the rooms are all the same up until the suites on the top floor, so it's not pricier to ask for one. the view from either side is amazing - you can choose to have a view of the space needle, or of the city (i suggest the city - gorgeous).the staff have all been incredibly nice and helpful, and the room is exceptionally clean. would totally suggest it to anyone! ",5.0
149,2.0,"['the lobby and dining areas are fine.', ""i've stayed at a lot of hotels on business trips and this was by far the noisiest.""]","too much traffic noise i attended a conference and stayed at this hotel for three miserable nights. the lobby and dining areas are fine. the rest of the hotel needs a lot of work. i had a room on the quiet side of the 12th floor. unfortunately, i don't think there is a quiet side of the hotel. as previous posts mentioned, there was a continuous draft through the sliding glass door since it wouldn't close all the way. i asked to move to another room and was told that all the nonsmoking rooms were booked. the room was so loud from buses and other traffic noise that it sounded like a freight train was going to come through the wall at any time. i've stayed at a lot of hotels on business trips and this was by far the noisiest. the towels and sheets were threadbare. the heater roared loudly, and the room was either hot from the heater or cold from the draft. the conference facilities were drafty and the food was average. the front desk staff had a pleasant appearance but did not seem interested in providing any assistance with dining recommendations, transportation, directions, etc. i asked the bellman for directions to a restaurant and he sent me down the wrong street. this is not a hotel i can recommend for any type of group. ",1.0
150,2.0,"['just hope that you get there to get a room ahead of someone else!we booked this hotel through hotwire, which was misleading, as it listed this hotel as a pike street market hotel.', 'we returned at 6 p.m. to be told that because of increased business, our room had been changed to a room with one king bed (very, very small) and a lower floor.now: i had been told to check in early and that i would get a higher floor room with two beds.', 'there are several better hotels nearby who appreciate your business and will work with you.']","watch out for this one! the previous positive reviews must have been from those who were given our room. just hope that you get there to get a room ahead of someone else!we booked this hotel through hotwire, which was misleading, as it listed this hotel as a pike street market hotel. not so: it is 5 long city blocks away. it also lists as a boutique hotel which is to make it sound quaint, i guess. translate it: old and unrelenting.we called ahead because we specifically needed two beds for medical reasons. i even checked in early to secure a room. i was told by a counter help that your room is locked in for the 14th floor and two beds. we returned at 6 p.m. to be told that because of increased business, our room had been changed to a room with one king bed (very, very small) and a lower floor.now: i had been told to check in early and that i would get a higher floor room with two beds. not so. to say that i have a room locked in and then to down grade me, is inexcusable. i only regret that i didn't wear my new trip adviser bill hat! the front desk was very, very rude; cutting my sentences off midway to tell me that it didn't matter what i was told, a crowd had come in and they sold my room. i spent a sleepless night on a lower floor next to my husband who needed his own bed. how rude. they weren't even apologetic. it was ridiculous. i will never stay here again. beware: some rooms are very small and outdated and the pool smells like mildew. seriously. i was basically told because i booked through hotwire, i wasn't a preferred customer! they don't realize the power of trip adviser! my recommendation: save your money! there are several better hotels nearby who appreciate your business and will work with you. it isn't that great of a location, and certainly not worth being treated as if i were pond scum because of using hotwire (as if people who saved money were stupid). take my advise: spend your well earned money at king's motel (1/2 block away) or at the sheraton or weston. it was a real bummer staying here! ",1.0
151,5.0,"['our room was spacious, very clean and it had an amazing view of the space needle.', 'when we were checking out, we noticed we had been charged a fee for using the internet (we had never used it).']","absolutely no complaints! we had researched several different hotels before deciding on the warwick- we chose it because of the affordable price and location in the city. upon arriving, we were very pleased. it is in a prime location, a short walk from the market, and very close to shops and restaurants. our room was spacious, very clean and it had an amazing view of the space needle. the bed was unbelievably comfortable. when we were checking out, we noticed we had been charged a fee for using the internet (we had never used it). we notified the people at the front desk and they immediately fixed it, no questions asked. they also offered to get us a cab even though we didnHuo Zhua  need it. an overall, very satisfactory experience. ",5.0
152,3.0,"['the only thing i did not like about this hotel is they make you use their wireless internet service which you have to pay for.', ""if you have dial up capability, it will work for a while, once they learn that you are using free dial up, they will but a block so you can't dial up.""]","nice hotel but.... this is a nice classy hotel which my company booked for me. it has a nice restaurant and the rooms are very comfortable and spacious. if you have the money to spend, this would be a great place to stay. the only thing i did not like about this hotel is they make you use their wireless internet service which you have to pay for. if you have dial up capability, it will work for a while, once they learn that you are using free dial up, they will but a block so you can't dial up. majority of the staff is nice, but when i stayed there, the person who checked me in was absolutely rude. check out was very smooth and the grey hound bus stops right outside the hotel to take you to the airport...for a fee of course. ",3.0
153,3.0,"['i know this is downtown seattle, but i never experience it this bad when staying at the warwick on a higher floor and when staying at mayflower park a few blocks down.']","great location  this was our second time staying at the warwick, the first time we stayed here was a few years ago. reading the other reviews, i definitely have to agree with alot of them, the hotel is starting to show its age. the location is great, and with ralph's grocery store right across the road, its so convenient! the service there is decent but wasn't memorable. this time we were on the 7th floor and it was so noisy. we were woken up a few times during the nights by so many loud sirens and outside noise. i know this is downtown seattle, but i never experience it this bad when staying at the warwick on a higher floor and when staying at mayflower park a few blocks down. the room was average, could use renovation. the water pressure in the shower was terrible! perhaps it was just the floor? i love the restaurant they have there, its such a great place to have breakfast! excellent service! i would stay here again despite of the noise and the rooms showing their age... but i think next time i'll try another place. ",3.0
154,3.0,"[""wasn't drawn to either for reasons of amenities and price respectively.overall, the biggest pro is what you get more than you pay for imo: service well beyond a motel; nice indoor pool and hot tub (you'll find few of these in downtown seattle), work-out room, newspaper at your door in the morning and invoice slipped under your door on the day you check out, friendly staff, easy early check-in upon our request, a very nice bar - we popped in for a martini - and restaurant which looked nicely run with french flair."", 'our room had a great view of the space needle.one outstanding feature is the proximity to everything, and this is what we wanted.', 'we walked to everywhere over the 2 days we were downtown.', 'emp - which was outstanding - is within seattle centre as is the science centre and the space needle.', 'we also walked to pike place market, and to several restaurants and downtown stores close by.', ""also, about 3 blocks away from the warwick is a great jazz bar called tula's and the area of town (belltown) has got great character while still being downtown and extremely convenient."", 'downtown stores were also an easy walk.', 'we walked to seattle centre, spent the day, then took the monorail (3 minutes ride) to downtown, then walked back to the hotel.', 'tour tips: forget the space needle.', ""not worth it unless you're dying to see the lay of the land on a very nice day and have $50 burning a hole in your pocket.emp- same price as the needle, but it was 4 hours of great stuff to do."", ""can't say enough about it.science centre: again, great value and if you're from vancouver and have a science world membership, you get in free."", ""but even if you pay the $30 or so for the family, there's lots to see with a great dinosaur exhibit, butterfly room and plenty more.restaurants: of course lots in the area, and we loved the thai food places.parking; hotel parking is $27/day and is actually a pretty good deal for central downtown."", 'very nice.overall, a very positive experience and we love seattle.']","the best for what you get. stayed a night at the warwick over march easter weekend. looked through the reviews here and prices of places on expedia previous to travelling from vancouver and this place looked to be the best value, and it was. we got an even better rate with our automobile association membership (aaa or caa). it was $132/night including all taxes - about a $20 saving over their already reasonable rate (imo). parking is an additional $27 but they didn't charge us for this. basically we were looking for an upgrade to a motel and wanted an indoor pool and hot tub, and wanted to be in the heart of the city. this was it, with pros and cons. we could have stayed at a quality inn (1/1/2 stars) for $80/night, or the sheraton (4 stars) for $210/night. wasn't drawn to either for reasons of amenities and price respectively.overall, the biggest pro is what you get more than you pay for imo: service well beyond a motel; nice indoor pool and hot tub (you'll find few of these in downtown seattle), work-out room, newspaper at your door in the morning and invoice slipped under your door on the day you check out, friendly staff, easy early check-in upon our request, a very nice bar - we popped in for a martini - and restaurant which looked nicely run with french flair. bathrooms are granite and quite clean, although a tad worn. our room had a great view of the space needle.one outstanding feature is the proximity to everything, and this is what we wanted. we walked to everywhere over the 2 days we were downtown. emp - which was outstanding - is within seattle centre as is the science centre and the space needle. the science centre is a must for those with kids; much bigger than vancouver's science world with more to do. we also walked to pike place market, and to several restaurants and downtown stores close by. also, about 3 blocks away from the warwick is a great jazz bar called tula's and the area of town (belltown) has got great character while still being downtown and extremely convenient. downtown stores were also an easy walk. we walked to seattle centre, spent the day, then took the monorail (3 minutes ride) to downtown, then walked back to the hotel. a great day.cons: only two, but one worth noting for sure. our room was on the 6th floor of about 25 floors(?) but much too noisy through the night. not constant traffic, but intermittent busses made things tough. our kids had no problem sleeping, but i awoke at 4:30 am and checked our our window to see if it was open, which it wasn't. next time, i will request a room much higher up which the check-out clerk said was the way to go. one other con was the beds were too small for me (with my wife). maybe they were doubles(?); fine for the two small kids to sleep together, but we'd like at least a queen, which we are used to. again, i'll request this next time. tour tips: forget the space needle. $50 for the family and while the view is awesome, you're up there for about 20-30 minutes unless you stay for a refreshment. not worth it unless you're dying to see the lay of the land on a very nice day and have $50 burning a hole in your pocket.emp- same price as the needle, but it was 4 hours of great stuff to do. hands on music experience, as well as a science fiction hall of fame attached. fabulous for kids or those who are into this. we thought our kids might get bored. they didn't and since we went after 3:30 (it closes at 5) they stamped our tickets to return the next day, which we did. can't say enough about it.science centre: again, great value and if you're from vancouver and have a science world membership, you get in free. but even if you pay the $30 or so for the family, there's lots to see with a great dinosaur exhibit, butterfly room and plenty more.restaurants: of course lots in the area, and we loved the thai food places.parking; hotel parking is $27/day and is actually a pretty good deal for central downtown. that gets you parking for your stay and until 5 pm the day you check-out. very convenient and we didn't bother hunting for a cheaper deal - what would we get elsewhere - $20/day - so why bother? besides, they forgot to charge us for the parking upon check-in - we didn't notice until check-out and they just said it's on us when we checked out. very nice.overall, a very positive experience and we love seattle. we're happy that we didn't pay the extra for the sheraton, or go to the quality inn for not a lot less. we'd go back to the warwick with a definite note to advise the staff upon reservation that we are sensitive to street noise, and to place us accordingly - upper floor - which i'm sure they will do. ",4.0
155,4.0,"['reasonable positioned so you could walk to most things you wanted to do in seattle.', 'free internet access in the business centre which was useful.', ""but as usual wireless access from the room was overpriced.i wouldn't have any hesitation at staying here again ""]",handy to everything pretty comfortable hotel. reasonable positioned so you could walk to most things you wanted to do in seattle. didn't dine in the hotel so can't comment but a colleague said the $10 breakfast was sensational value. staff were helpful and friendly. free internet access in the business centre which was useful. but as usual wireless access from the room was overpriced.i wouldn't have any hesitation at staying here again ,4.0
157,2.0,"['oh, and the prices for breakfast in seattle are shocking - not sure why.', ""if i return to seattle, i'll be looking for accommodations elsewhere."", ""there are some fabulous hotels (my friends were in them, and some paid no more than i).seattle's nice people and fun atmosphere were great - if that and a place to sleep are what you're looking for, this could be the place for you. ""]","nice neighborhood stayed at the warwick for a weeklong conference - the room was on a lower floor with a view of a parking lot (and my rate was at least $140-160) - the draftiest room i ever stayed in! a nightly wind across the floor...the neighborhood is perfect - close to everything. room was clean and the appliances worked. i stuffed the bedspread against the window at night, to lessen the draft. disappointed that my room rate could not include something nicer, or any view at all, but the city was booked for the conference. (fix those windows!). oh, and all i heard all the time was the elevator going up and down... so i didn't have a 'luxury' experience in my estimation.the biggest issue i had was that a housekeeper opened the room, and left the deadbolt in the state that it held the door open. i was staying in a single, came back from my conference, and my room was open. spooked me - i called down after cautiously entering. the manager didn't see fit to come up - just called me back later, asking me if anything was missing. lucky me, i had forgotten to close the safe, but everything including valuables was still in place. i think the manager could have managed to make an appearance in an instance like this, and i have had experiences in other hotels which were less dramatic, where a manager made an appearance to explain the problem.the restaurant is not good - even breakfasts were hit-or-miss (how do you screw up breakfast?) on the other hand, there are wonderful eateries in the neighborhood - try another venue. the staff in the restaurant were the nicest on staff, though! oh, and the prices for breakfast in seattle are shocking - not sure why. on the east coast you can eat like a king for $15 at breakfast - here, i didn't escape for under $22 and didn't necessarily feel full. i was offered a discount on my next stay, after i wrote the chain. but... i cannot imagine a repeat visit to that hotel. if i return to seattle, i'll be looking for accommodations elsewhere. there are some fabulous hotels (my friends were in them, and some paid no more than i).seattle's nice people and fun atmosphere were great - if that and a place to sleep are what you're looking for, this could be the place for you. ",2.0
158,4.0,"['best value in downtown seattle stayed twice recently, $108 weeknight and $129 weekend.', 'very nice room, request high floor (book these rooms early, particularly space needle view).', 'parking $25 a night but if you are in and out you may park free on the street after 6 pm usually within a block.']","best value in downtown seattle stayed twice recently, $108 weeknight and $129 weekend. very nice room, request high floor (book these rooms early, particularly space needle view). room not 5 star, small defects but not enough to mention. bed, room clean and comfortable. no noise problems as mentioned elsewhere. front desk staff, micae, works evenings, very helpful. parking $25 a night but if you are in and out you may park free on the street after 6 pm usually within a block. enjoy! ",4.0
160,3.0,"[""solid base in seattle stayed here for 3 nights just before new year's eve."", ""it was easy to find despite the one way system in central seattle, and in a very convenient location for exploring downtown.check in had a few problems - the key card system wasn't working so i had to sit and wait in the lobby until this was done."", 'there were no further problems after the first night and the staff dealt with it very efficiently.the room itself was great - comfy bed, lots of space, huge windows, spotless bathroom.', ""it's just a few blocks walk to the centre of seattle, with lots of great restaurants and shops within easy reach."", ""we didn't use the car at all during our stay (so we had to pay $27 per day for the privilege of having a car we didn't need - i wouldn't hire a car in future if we were only staying in seattle, but this was at the end of a skiing trip to canada, so we didn't have any option but to pay for the parking)."", 'we did use the business centre as this has free internet access as an alternative to paying for in-room wi-fi.']","solid base in seattle stayed here for 3 nights just before new year's eve. it was easy to find despite the one way system in central seattle, and in a very convenient location for exploring downtown.check in had a few problems - the key card system wasn't working so i had to sit and wait in the lobby until this was done. the concierge did offer to let me into the room, however, as i was waiting for my partner to return from parking the car, i took advantage of the comfy seats in front of the log fire. the cards then lost their programming later that evening so we had so trek back down to get them re-programmed. there were no further problems after the first night and the staff dealt with it very efficiently.the room itself was great - comfy bed, lots of space, huge windows, spotless bathroom. unfortunately, we were in the corner room on the 3rd floor, so it was prone to noise from the street, and the only view was of the cinema across the street! i did ask if we could be moved, but the hotel was fully booked. i guess you have to pay more to get the higher floors, especially at this time of year. the best thing about the hotel was the location. it's just a few blocks walk to the centre of seattle, with lots of great restaurants and shops within easy reach. we didn't use the car at all during our stay (so we had to pay $27 per day for the privilege of having a car we didn't need - i wouldn't hire a car in future if we were only staying in seattle, but this was at the end of a skiing trip to canada, so we didn't have any option but to pay for the parking). we didn't make use of any of the hotel facilities or restaurant, so i can't comment on these. we did use the business centre as this has free internet access as an alternative to paying for in-room wi-fi. just ask the concierge for this as you need to be let into the room.overall, it was a comfortable and convenient base, and good value for money. i would stay here again. ",4.0
166,4.0,"['met our expectations centrally located hotel is a few blocks from the water and from popular nightlife and shopping options in belltown and downtown.', 'there is an adequate fitness center, sauna and pool in the basement and a quaint bar/restaurant attached to the hotel.', 'parking at $30 per day is an outrage but possibly standard for downtown (you can find street parking on the weekend to save a few dollars).']","met our expectations centrally located hotel is a few blocks from the water and from popular nightlife and shopping options in belltown and downtown. i would classify this property as a three star location. we paid a wedding rate so i am not sure how it fares from a value proposition. the room was spacious although a little outdated. perhaps some rooms have decent views but we were on a lower floor with a drab panaroma of the parking lot and some other buildings. there is an adequate fitness center, sauna and pool in the basement and a quaint bar/restaurant attached to the hotel. parking at $30 per day is an outrage but possibly standard for downtown (you can find street parking on the weekend to save a few dollars). i would be willing to stay here again the future if the price was significantly lower than the nearby four-star competition. ",3.0
